#Table1
objid,ra,dec,z
1237648703509102769,196.554898171107,-0.66414693910295,0.08398743
1237648703509102812,196.612641295605,-0.806040928321794,0.08417733
1237648703509102821,196.623458914,-0.797385298995016,0.08421105
1237648703509233785,196.885281212485,-0.625856315125943,0.08834489
1237648703509299317,196.940397685759,-0.789318905849546,0.09148846
1237648703509299400,197.050715267056,-0.80597162855335,0.08311027
1237648703509299408,197.05613828826,-0.632529777162521,0.09564068
1237648703509364815,197.20880175448,-0.817319435222465,0.01794305
1237648703509364817,197.230618281386,-0.801618891011878,0.01906901
1237648703509364989,197.184505939901,-0.766833966219346,0.01868426
1237648703509365035,197.230677475121,-0.698708308001954,0.08218905
1237648703509430283,197.265157293278,-0.766008189217073,0.01720522
1237648703509430379,197.237696982666,-0.744284762737748,0.08182288
1237648703509430434,197.329428057063,-0.674147756698021,0.08197818
1237648703509430466,197.374841113164,-0.684647384377213,0.08133649
1237648703509430470,197.376364812001,-0.64458220365991,0.08087636
1237648703509561482,197.574281802443,-0.673772368396313,0.08436722
1237648703509561483,197.574565049173,-0.673158474954408,0.08476349
1237648703509561498,197.586668006407,-0.79356316352182,0.08565257
1237648703509561515,197.599799978813,-0.678298859263071,0.08626503
1237648703509561575,197.659145981494,-0.656818382829696,0.08642442
1237648703509561591,197.677600934857,-0.666744319065679,0.08058321
1237648703509561593,197.676216293364,-0.664576769678933,0.07620737
1237648703509626918,197.710627560937,-0.810031168228765,0.07383361
1237648703509627162,197.765812138073,-0.788014978218091,0.08014426
1237648703509627175,197.782266847066,-0.725086469645271,0.08574168
1237648703509692496,197.880370199563,-0.645666039898452,0.08106742
1237648703509692499,197.883790602341,-0.713999781240986,0.08507867
1237648703509692612,197.902451831962,-0.692847195730856,0.09736972
1237648703509692668,197.9665377151,-0.638453259032736,0.08238391
1237648703509758113,198.02665031538,-0.830769557625298,0.08446006
1237648703509758114,198.028847071926,-0.831799757763158,0.0857183
1237648703509758159,198.071190957354,-0.795849017526622,0.08474323
1237648703509758176,198.088672960639,-0.802678012638396,0.08268686
1237648703509758186,198.099857036924,-0.737865695145624,0.08327536
1237648703509758209,198.119848867502,-0.67864422745094,0.0831333
1237648703509758235,198.014044172735,-0.73866752076442,0.08582125
1237648703509823654,198.148592566471,-0.790697463830229,0.08242302
1237648703509823668,198.164194261214,-0.746182931473527,0.08397079
1237648703509823673,198.169001350107,-0.805970586424822,0.08884999
1237648703509889170,198.295035940813,-0.732994855719997,0.08160174
1237648703509889236,198.361254530827,-0.75930612048175,0.08382601
1237648703510151276,198.928861036011,-0.737306122939065,0.0836834
1237648703510151280,198.929894905289,-0.776007546230513,0.09115019
1237648703510216734,199.051985021593,-0.675294838792597,0.07314108
1237648703510216838,199.057845054563,-0.637168897298515,0.08566981
1237648703510216885,199.114028864107,-0.679098492132312,0.09379204
1237648703510216918,199.133195171957,-0.81435001924511,0.08175541
1237648703510216943,199.180349339032,-0.694147093294479,0.08563632
1237648703510282382,199.212696053041,-0.766930376476653,0.08334474
1237648703510282465,199.31343744698,-0.753907598228812,0.08552645
1237648703510282466,199.314286786124,-0.753782823048639,0.08563361
1237648703510282486,199.255987870513,-0.74388649460515,0.08190707
1237648703510413330,199.535334085719,-0.681150473004788,0.08575411
1237648703510413425,199.54952704057,-0.817559310046912,0.08393086
1237648703510413458,199.578543900101,-0.751169335661112,0.08585291
1237648703510413477,199.593217616196,-0.698224949413108,0.08580142
1237648703510413482,199.596253864232,-0.807703506650883,0.083621
1237648703510413495,199.604530381358,-0.74716277428964,0.08178464
1237648703510413501,199.606572961463,-0.710735913840426,0.08077726
1237648703510413537,199.628623293113,-0.787458163834998,0.08827489
1237648703510478979,199.655033856872,-0.707468233723885,0.08120288
1237648703510478991,199.669770501422,-0.822973476978317,0.04720235
1237648703510479005,199.676188222483,-0.792305219078004,0.08478002
1237648703510479021,199.686452933162,-0.733793413747904,0.0859492
1237648703510479050,199.693964132575,-0.757549849529011,0.08697884
